dt,lat,lng,altitude,angle,speed,params
2022-05-18 02:02:06,3.84429,11.496183,696,77,0,"gpslev=12, gsmlev=5, hdop=0.4, io1=0, io16=19342780, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.8"
2022-05-18 02:05:06,3.84429,11.496183,696,77,0,"gpslev=14, gsmlev=5, hdop=0.3, io1=0, io16=19342780, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 02:08:07,3.844245,11.496102,699,270,0,"gpslev=14, gsmlev=5, hdop=0.3, io1=0, io16=19342780, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 02:11:07,3.844245,11.496102,699,270,0,"gpslev=14, gsmlev=5, hdop=0.3, io1=0, io16=19342780, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.7"
2022-05-18 02:14:07,3.84426,11.496117,697,67,0,"gpslev=15, gsmlev=5, hdop=0.3, io1=0, io16=19342780, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.4"
2022-05-18 02:17:07,3.844287,11.496162,696,58,0,"gpslev=15, gsmlev=5, hdop=0.3, io1=0, io16=19342780, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 02:20:08,3.844287,11.496162,696,58,0,"gpslev=15, gsmlev=5, hdop=0.3, io1=0, io16=19342780, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 02:23:08,3.844287,11.496162,696,58,0,"gpslev=15, gsmlev=5, hdop=0.3, io1=0, io16=19342780, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.6"
2022-05-18 02:26:09,3.844287,11.496162,696,58,0,"gpslev=14, gsmlev=5, hdop=0.3, io1=0, io16=19342780, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 02:29:09,3.844245,11.496107,696,38,0,"gpslev=15, gsmlev=5, hdop=0.3, io1=0, io16=19342785, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.6"
